Date,Time,Temperature,Humidity
05/10/21,17:04,73.4,30.0%,05/10/21,17:04,73.4,30.0%
05/10/21,17:04,73.4,30.0%,05/10/21,17:04,73.4,30.0%
05/10/21,17:04,73.4,30.0%,05/10/21,17:04,73.4,30.0%
05/10/21,17:06,73.4,30.0%,73.4,27.0%
05/10/21,17:06,73.4,30.0%,73.4,28.0%
05/10/21,17:06,73.4,30.0%,73.4,28.0%
05/11/21,13:53,86.0,7.0%,78.8,14.0%
05/11/21,13:53,78.8,14.0%,78.8,13.0%
05/11/21,13:53,80.6,14.0%,80.6,14.0%
05/11/21,13:53,80.6,14.0%,80.6,14.0%
05/11/21,13:53,80.6,14.0%,80.6,14.0%
05/11/21,13:53,80.6,14.0%,80.6,14.0%
05/11/21,13:54,80.6,15.0%,80.6,14.0%
